Tytuł polski,Tytuł angielski,Czas (min),Nagrody MDAG,Nominacje MDAG,Kraj,Ocena Filmweb,Głosy Filmweb,Link MDAG,Link Filmweb
U źródła światła – 11 pieśni dla Fidżi,At the Source of Light – 11 Songs for Fiji,,,0,—,5.1,11,,https://www.filmweb.pl/film/U+%C5%BAr%C3%B3d%C5%82a+%C5%9Bwiat%C5%82a+11+pie%C5%9Bni+dla+Fid%C5%BCi-2026-10120274
W czterech ścianach,Our Walls,8,0,1,Słowenia,5.7,14,https://mdag.pl/pl/ogladaj-online/23/film/w-czterech-scianach,https://www.filmweb.pl/film/W+czterech+%C5%9Bcianach-2025-10119016
W stronę słońca,Towards the Sun,92,0,0,—,6.2,652,https://mdag.pl/pl/ogladaj-online/23/film/w-strone-slonca,https://www.filmweb.pl/film/W+stron%C4%99+s%C5%82o%C5%84ca-2024-10052421
We Want the Funk,We Want the Funk,85,0,2,USA,7.3,91,https://mdag.pl/pl/ogladaj-online/23/film/we-want-the-funk,https://www.filmweb.pl/film/We+Want+the+Funk-2025-10120065
Wiedźmy,Hex,92,0,1,Norwegia,6.6,80,https://mdag.pl/pl/ogladaj-online/23/film/wiedzmy,https://www.filmweb.pl/film/Wied%C5%BAmy-2026-10120390
Wszystkie życia mojego ojca,The Lives of My Father,86,0,0,—,6.3,31,https://mdag.pl/pl/ogladaj-online/23/film/wszystkie-zycia-mojego-ojca,https://www.filmweb.pl/film/Wszystkie+%C5%BCycia+mojego+ojca-2026-10118394
Wszystko co się świeci,Everything That Shines,,,0,—,6.3,50,,https://www.filmweb.pl/film/Wszystko%2C+co+si%C4%99+%C5%9Bwieci-2025-10112776
Wszystko o co gram,Everything I Play For,36,0,0,—,7.5,11,https://mdag.pl/pl/ogladaj-online/23/film/wszystko-o-co-gram,https://www.filmweb.pl/film/Wszystko%2C+o+co+gram-2026-10119389
Wszyscy na Kenmure Street,Everyone on Kenmure Street,,,0,—,7.0,30,,https://www.filmweb.pl/film/Wszyscy+na+Kenmure+Street-2026-10111979
Wszędzie dobrze wszędzie źle,Two Mountains Weighing Down My Chest,86,1,3,Holandia/Niemcy,6.8,121,https://mdag.pl/pl/ogladaj-online/23/film/wszedie-dobrze-wszedie-zle,https://www.filmweb.pl/film/Wsz%C4%99dzie+dobrze+wsz%C4%99dzie+%C5%BAle-2026-10116903
WTO/99,WTO/99,,,0,—,7.8,19,,https://www.filmweb.pl/film/WTO+99-2025-10103076
Wycieczka z przewodniczką,Guided Tour,15,1,0,Francja/Portoryko,5.6,19,https://mdag.pl/pl/ogladaj-online/23/film/wycieczka-z-przewodniczka,https://www.filmweb.pl/film/Wycieczka+z+przewodniczk%C4%85-2026-10119021
Wyznania pieprzyka,Confessions of a Mole,92,1,1,Chiny/Polska,5.7,93,https://mdag.pl/pl/ogladaj-online/23/film/wyznania-pieprzyka,https://www.filmweb.pl/film/Wyznania+pieprzyka-2025-10110659
Wyznania szwedzkiego mężczyzny,Confessions of a Swedish Man,96,0,0,—,7.2,236,https://mdag.pl/pl/ogladaj-online/23/film/wyznania-szwedzkiego-mezczyzny,https://www.filmweb.pl/film/Wyznania+szwedzkiego+m%C4%99%C5%BCczyzny-2025-10114243
Yanuni,Yanuni,112,0,1,Australia/Brazylia/Kanada/Niemcy/USA,7.2,46,https://mdag.pl/pl/ogladaj-online/23/film/yanuni,https://www.filmweb.pl/film/Yanuni-2025-10103189
Yo (Miłość jest zbuntowanym ptakiem),Yo (Love Is a Rebellious Bird),,,0,—,7.0,88,,https://www.filmweb.pl/film/Yo+%28Mi%C5%82o%C5%9B%C4%87+jest+zbuntowanym+ptakiem%29-2026-10113328
Yintah,Yintah,110,0,0,—,7.3,658,https://mdag.pl/pl/ogladaj-online/23/film/yintah,https://www.filmweb.pl/film/Yintah-2024-10061973
Zapytaj E. Jean,Ask E. Jean,,,0,—,6.8,23,,https://www.filmweb.pl/film/Zapytaj+E.+Jean-2025-10118816
Zielone światło,Green Light,,,0,—,6.9,19,,https://www.filmweb.pl/film/Zielone+%C5%9Bwiat%C5%82o-2025-10090944
